County,Registered Voters,"Thomas R. Coleman, Jr. (I)_Election Day Votes","Thomas R. Coleman, Jr. (I)_Advanced Voting Votes","Thomas R. Coleman, Jr. (I)_Absentee by Mail Votes","Thomas R. Coleman, Jr. (I)_Provisional Votes","Thomas R. Coleman, Jr. (I)_Choice Total",Total,Randy T. Ellis_Election Day Votes,Randy T. Ellis_Advanced Voting Votes,Randy T. Ellis_Absentee by Mail Votes,Randy T. Ellis_Provisional Votes,Randy T. Ellis_Choice Total,calc_participation
Colquitt,25054.0,4615.0,6850.0,1978.0,9.0,13452.0,13452.0,0.0,0.0,0.0,0.0,0.0,53.7
Crisp,12554.0,0.0,0.0,0.0,0.0,0.0,6765.0,1321.0,4119.0,1320.0,5.0,6765.0,53.9
