County,Registered Voters,John Carson (I) (Rep)_Election Day Votes,John Carson (I) (Rep)_Advanced Voting Votes,John Carson (I) (Rep)_Absentee by Mail Votes,John Carson (I) (Rep)_Provisional Votes,John Carson (I) (Rep)_Choice Total,Caroline L. Holko (Dem)_Election Day Votes,Caroline L. Holko (Dem)_Advanced Voting Votes,Caroline L. Holko (Dem)_Absentee by Mail Votes,Caroline L. Holko (Dem)_Provisional Votes,Caroline L. Holko (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Cherokee,21628.0,1753.0,3734.0,2093.0,0.0,7580.0,627.0,1666.0,1783.0,0.0,4076.0,11656.0,53.9,7580.0,4076.0
Cobb,32174.0,3945.0,5806.0,4371.0,10.0,14132.0,1316.0,3445.0,4774.0,4.0,9539.0,23671.0,73.6,14132.0,9539.0
