,Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,calc_participation
251,JC16,Fulton,2707.0,137.0,972.0,378.0,1.0,1488.0,1488.0,55.0
241,JC07,Fulton,4670.0,174.0,1482.0,828.0,24.0,2508.0,2508.0,53.7
263,ML06B,Fulton,3119.0,183.0,879.0,418.0,3.0,1483.0,1483.0,47.5
265,ML07B,Fulton,1675.0,179.0,468.0,213.0,1.0,861.0,861.0,51.4
285,RW17,Fulton,3100.0,218.0,961.0,413.0,4.0,1596.0,1596.0,51.5
284,RW16,Fulton,2101.0,120.0,747.0,300.0,4.0,1171.0,1171.0,55.7
283,RW13,Fulton,3764.0,242.0,1304.0,531.0,6.0,2083.0,2083.0,55.3
282,RW12A,Fulton,2458.0,141.0,788.0,137.0,4.0,1070.0,1070.0,43.5
281,RW12,Fulton,3899.0,278.0,1270.0,937.0,4.0,2489.0,2489.0,63.8
280,RW11A,Fulton,2865.0,193.0,812.0,460.0,9.0,1474.0,1474.0,51.4
279,RW10,Fulton,3653.0,164.0,1262.0,658.0,9.0,2093.0,2093.0,57.3
278,RW09A,Fulton,1892.0,112.0,658.0,97.0,3.0,870.0,870.0,46.0
277,RW09,Fulton,4450.0,247.0,1424.0,938.0,3.0,2612.0,2612.0,58.7
264,ML07A,Fulton,836.0,96.0,244.0,97.0,0.0,437.0,437.0,52.3
276,RW08,Fulton,2429.0,143.0,637.0,442.0,7.0,1229.0,1229.0,50.6
274,RW07A,Fulton,1773.0,188.0,399.0,135.0,2.0,724.0,724.0,40.8
273,RW06,Fulton,3071.0,175.0,1069.0,430.0,7.0,1681.0,1681.0,54.7
272,RW05,Fulton,2910.0,219.0,743.0,349.0,12.0,1323.0,1323.0,45.5
271,RW04,Fulton,1861.0,69.0,662.0,338.0,1.0,1070.0,1070.0,57.5
270,RW03,Fulton,5041.0,335.0,1374.0,682.0,11.0,2402.0,2402.0,47.6
