,Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,calc_participation
95,08A,Fulton,3084.0,181.0,976.0,434.0,7.0,1598.0,1598.0,51.8
96,08B,Fulton,3498.0,143.0,1221.0,509.0,0.0,1873.0,1873.0,53.5
165,12N,Fulton,1134.0,80.0,190.0,66.0,6.0,342.0,342.0,30.2
164,12M,Fulton,2990.0,310.0,539.0,254.0,12.0,1115.0,1115.0,37.3
163,12L,Fulton,774.0,48.0,108.0,58.0,2.0,216.0,216.0,27.9
162,12K,Fulton,3620.0,175.0,798.0,286.0,5.0,1264.0,1264.0,34.9
161,12J,Fulton,3154.0,220.0,596.0,263.0,25.0,1104.0,1104.0,35.0
160,12I,Fulton,1079.0,49.0,182.0,124.0,33.0,388.0,388.0,36.0
159,12H2,Fulton,2998.0,235.0,579.0,322.0,5.0,1141.0,1141.0,38.1
158,12H1,Fulton,1170.0,86.0,154.0,63.0,4.0,307.0,307.0,26.2
157,12G,Fulton,885.0,45.0,144.0,148.0,0.0,337.0,337.0,38.1
166,12S,Fulton,2079.0,138.0,494.0,192.0,12.0,836.0,836.0,40.2
156,12F,Fulton,1229.0,95.0,249.0,82.0,0.0,426.0,426.0,34.7
154,12D,Fulton,1408.0,87.0,297.0,106.0,2.0,492.0,492.0,34.9
153,12A1,Fulton,690.0,37.0,254.0,19.0,6.0,316.0,316.0,45.8
152,12A,Fulton,4971.0,246.0,1343.0,611.0,12.0,2212.0,2212.0,44.5
151,11R,Fulton,2253.0,88.0,337.0,188.0,5.0,618.0,618.0,27.4
150,11P,Fulton,2095.0,109.0,437.0,317.0,11.0,874.0,874.0,41.7
149,11N,Fulton,2431.0,163.0,697.0,373.0,1.0,1234.0,1234.0,50.8
148,11M1,Fulton,2190.0,117.0,443.0,42.0,19.0,621.0,621.0,28.4
147,11M,Fulton,1380.0,82.0,468.0,283.0,4.0,837.0,837.0,60.7
146,11K,Fulton,2045.0,114.0,507.0,302.0,12.0,935.0,935.0,45.7
155,12E1,Fulton,1906.0,99.0,245.0,190.0,3.0,537.0,537.0,28.2
145,11J,Fulton,2092.0,157.0,421.0,266.0,17.0,861.0,861.0,41.2
167,AP01A,Fulton,5236.0,215.0,1785.0,870.0,3.0,2873.0,2873.0,54.9
169,AP01C,Fulton,2409.0,106.0,875.0,363.0,5.0,1349.0,1349.0,56.0
189,CH02,Fulton,338.0,32.0,74.0,42.0,0.0,148.0,148.0,43.8
188,CH01,Fulton,376.0,14.0,94.0,40.0,3.0,151.0,151.0,40.2
187,AP14,Fulton,3232.0,127.0,1146.0,569.0,6.0,1848.0,1848.0,57.2
186,AP12C,Fulton,2367.0,113.0,718.0,262.0,9.0,1102.0,1102.0,46.6
185,AP12B,Fulton,947.0,58.0,219.0,115.0,4.0,396.0,396.0,41.8
184,AP12A,Fulton,746.0,53.0,217.0,85.0,12.0,367.0,367.0,49.2
183,AP10,Fulton,992.0,49.0,328.0,133.0,24.0,534.0,534.0,53.8
182,AP09B,Fulton,925.0,46.0,291.0,156.0,2.0,495.0,495.0,53.5
181,AP09A,Fulton,4437.0,247.0,1395.0,645.0,9.0,2296.0,2296.0,51.7
168,AP01B,Fulton,1281.0,68.0,385.0,174.0,7.0,634.0,634.0,49.5
180,AP07B,Fulton,1882.0,90.0,649.0,250.0,13.0,1002.0,1002.0,53.2
178,AP06,Fulton,1967.0,99.0,708.0,274.0,10.0,1091.0,1091.0,55.5
177,AP05,Fulton,4776.0,251.0,1512.0,735.0,7.0,2505.0,2505.0,52.4
176,AP04B,Fulton,473.0,36.0,187.0,57.0,4.0,284.0,284.0,60.0
175,AP04A,Fulton,1760.0,91.0,612.0,294.0,8.0,1005.0,1005.0,57.1
174,AP03,Fulton,775.0,78.0,185.0,64.0,4.0,331.0,331.0,42.7
173,AP02B,Fulton,677.0,27.0,148.0,148.0,3.0,326.0,326.0,48.2
172,AP022,Fulton,2507.0,123.0,701.0,389.0,0.0,1213.0,1213.0,48.4
171,AP021,Fulton,3408.0,213.0,1135.0,419.0,3.0,1770.0,1770.0,51.9
170,AP01D,Fulton,1015.0,47.0,303.0,154.0,0.0,504.0,504.0,49.7
179,AP07A,Fulton,3910.0,203.0,1117.0,543.0,17.0,1880.0,1880.0,48.1
144,11H,Fulton,753.0,47.0,148.0,109.0,5.0,309.0,309.0,41.0
143,11G,Fulton,2556.0,98.0,396.0,266.0,27.0,787.0,787.0,30.8
142,11E3,Fulton,3605.0,225.0,1194.0,300.0,6.0,1725.0,1725.0,47.9
116,09G,Fulton,3943.0,221.0,1364.0,547.0,6.0,2138.0,2138.0,54.2
115,09F,Fulton,3917.0,165.0,1389.0,614.0,4.0,2172.0,2172.0,55.5
114,09E,Fulton,3261.0,225.0,765.0,281.0,0.0,1271.0,1271.0,39.0
113,09D,Fulton,2299.0,177.0,335.0,240.0,6.0,758.0,758.0,33.0
112,09C,Fulton,3353.0,217.0,686.0,384.0,19.0,1306.0,1306.0,39.0
111,09B,Fulton,464.0,23.0,59.0,47.0,0.0,129.0,129.0,27.8
110,09A,Fulton,3856.0,178.0,1378.0,514.0,9.0,2079.0,2079.0,53.9
109,08P,Fulton,1887.0,114.0,574.0,194.0,5.0,887.0,887.0,47.0
108,08N2,Fulton,1616.0,58.0,466.0,293.0,2.0,819.0,819.0,50.7
117,09H,Fulton,1185.0,73.0,369.0,135.0,1.0,578.0,578.0,48.8
107,08N1,Fulton,824.0,23.0,265.0,117.0,2.0,407.0,407.0,49.4
105,08L,Fulton,4505.0,222.0,1470.0,712.0,17.0,2421.0,2421.0,53.7
104,08K,Fulton,1049.0,75.0,378.0,184.0,0.0,637.0,637.0,60.7
103,08J,Fulton,3344.0,151.0,1264.0,404.0,3.0,1822.0,1822.0,54.5
102,08H,Fulton,2556.0,93.0,795.0,446.0,2.0,1336.0,1336.0,52.3
101,08G,Fulton,3086.0,149.0,707.0,481.0,5.0,1342.0,1342.0,43.5
100,08F1,Fulton,2187.0,85.0,774.0,332.0,4.0,1195.0,1195.0,54.6
99,08E,Fulton,2568.0,103.0,823.0,438.0,0.0,1364.0,1364.0,53.1
98,08D,Fulton,1073.0,25.0,359.0,168.0,14.0,566.0,566.0,52.7
97,08C,Fulton,1500.0,58.0,485.0,224.0,0.0,767.0,767.0,51.1
106,08M,Fulton,2295.0,124.0,724.0,299.0,1.0,1148.0,1148.0,50.0
118,09I,Fulton,1397.0,114.0,201.0,142.0,2.0,459.0,459.0,32.9
119,09K,Fulton,4002.0,202.0,665.0,375.0,8.0,1250.0,1250.0,31.2
120,09K1,Fulton,1518.0,84.0,244.0,34.0,1.0,363.0,363.0,23.9
141,11E2,Fulton,1003.0,67.0,292.0,139.0,4.0,502.0,502.0,50.0
140,11E1,Fulton,1340.0,110.0,347.0,135.0,11.0,603.0,603.0,45.0
139,11C,Fulton,3149.0,138.0,1152.0,465.0,7.0,1762.0,1762.0,56.0
138,11B1,Fulton,894.0,67.0,245.0,24.0,3.0,339.0,339.0,37.9
137,11B,Fulton,4395.0,298.0,1119.0,687.0,27.0,2131.0,2131.0,48.5
136,10R,Fulton,928.0,79.0,171.0,59.0,11.0,320.0,320.0,34.5
135,10P,Fulton,1607.0,115.0,276.0,200.0,3.0,594.0,594.0,37.0
134,10M,Fulton,2880.0,195.0,716.0,355.0,10.0,1276.0,1276.0,44.3
133,10K,Fulton,1614.0,96.0,462.0,254.0,5.0,817.0,817.0,50.6
132,10J,Fulton,1238.0,109.0,150.0,100.0,9.0,368.0,368.0,29.7
131,10I,Fulton,331.0,12.0,136.0,80.0,0.0,228.0,228.0,68.9
130,10H2,Fulton,2623.0,149.0,453.0,277.0,6.0,885.0,885.0,33.7
129,10H1,Fulton,439.0,24.0,130.0,64.0,9.0,227.0,227.0,51.7
128,10G,Fulton,1332.0,78.0,426.0,191.0,0.0,695.0,695.0,52.2
127,10F,Fulton,1208.0,93.0,246.0,160.0,6.0,505.0,505.0,41.8
126,10E,Fulton,1084.0,80.0,240.0,153.0,2.0,475.0,475.0,43.8
125,10D,Fulton,4968.0,257.0,896.0,448.0,100.0,1701.0,1701.0,34.2
124,10C,Fulton,2598.0,122.0,571.0,254.0,11.0,958.0,958.0,36.9
123,10B,Fulton,3965.0,205.0,1271.0,713.0,6.0,2195.0,2195.0,55.4
122,10A,Fulton,3186.0,193.0,791.0,437.0,10.0,1431.0,1431.0,44.9
121,09M,Fulton,2578.0,101.0,1054.0,311.0,0.0,1466.0,1466.0,56.9
382,UC031,Fulton,2745.0,136.0,582.0,396.0,19.0,1133.0,1133.0,41.3
383,UC032,Fulton,393.0,21.0,128.0,65.0,0.0,214.0,214.0,54.5
