County,Registered Voters,Barry Fleming (I) (Rep)_Election Day Votes,Barry Fleming (I) (Rep)_Advanced Voting Votes,Barry Fleming (I) (Rep)_Absentee by Mail Votes,Barry Fleming (I) (Rep)_Provisional Votes,Barry Fleming (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Columbia,54865.0,5073.0,11453.0,2930.0,19.0,19475.0,19475.0,35.5,19475.0
McDuffie,11953.0,990.0,4620.0,1206.0,0.0,6816.0,6816.0,57.0,6816.0
