County,Registered Voters,Sharon Henderson (Dem)_Election Day Votes,Sharon Henderson (Dem)_Advanced Voting Votes,Sharon Henderson (Dem)_Absentee by Mail Votes,Sharon Henderson (Dem)_Provisional Votes,Sharon Henderson (Dem)_Choice Total,Total,calc_participation,Dem_total
Newton,43095.0,5232.0,8918.0,6764.0,13.0,20927.0,20927.0,48.6,20927.0
Rockdale,6328.0,327.0,1672.0,817.0,0.0,2816.0,2816.0,44.5,2816.0
