County,Registered Voters,Debbie G. Buckner (I) (Dem)_Election Day Votes,Debbie G. Buckner (I) (Dem)_Advanced Voting Votes,Debbie G. Buckner (I) (Dem)_Absentee by Mail Votes,Debbie G. Buckner (I) (Dem)_Provisional Votes,Debbie G. Buckner (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Harris,3638.0,679.0,662.0,513.0,2.0,1856.0,1856.0,51.0,1856.0
Meriwether,9490.0,1660.0,2171.0,1275.0,1.0,5107.0,5107.0,53.8,5107.0
Muscogee,26483.0,1429.0,6820.0,3978.0,1.0,12228.0,12228.0,46.2,12228.0
Talbot,4563.0,828.0,994.0,1025.0,1.0,2848.0,2848.0,62.4,2848.0
