County,Registered Voters,Scott Holcomb (I) (Dem)_Election Day Votes,Scott Holcomb (I) (Dem)_Advanced Voting Votes,Scott Holcomb (I) (Dem)_Absentee by Mail Votes,Scott Holcomb (I) (Dem)_Provisional Votes,Scott Holcomb (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
DeKalb,43257.0,2166.0,8430.0,5551.0,24.0,16171.0,16171.0,37.4,16171.0
Gwinnett,2546.0,301.0,565.0,366.0,1.0,1233.0,1233.0,48.4,1233.0
