County,Registered Voters,Joseph J. Davis (I)_Election Day Votes,Joseph J. Davis (I)_Advanced Voting Votes,Joseph J. Davis (I)_Absentee by Mail Votes,Joseph J. Davis (I)_Provisional Votes,Joseph J. Davis (I)_Choice Total,Total,"Harold Parker, Jr. (I)_Election Day Votes","Harold Parker, Jr. (I)_Advanced Voting Votes","Harold Parker, Jr. (I)_Absentee by Mail Votes","Harold Parker, Jr. (I)_Provisional Votes","Harold Parker, Jr. (I)_Choice Total",Carroll B. Purvis_Election Day Votes,Carroll B. Purvis_Advanced Voting Votes,Carroll B. Purvis_Absentee by Mail Votes,Carroll B. Purvis_Provisional Votes,Carroll B. Purvis_Choice Total,calc_participation
Effingham,44273.0,8217.0,14608.0,3621.0,18.0,26464.0,26464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8
Screven,0.0,0.0,0.0,0.0,0.0,0.0,5178.0,1514.0,2675.0,975.0,14.0,5178.0,0.0,0.0,0.0,0.0,0.0,0.0
Tattnall,12184.0,0.0,0.0,0.0,0.0,0.0,6717.0,0.0,0.0,0.0,0.0,0.0,1682.0,3997.0,1038.0,0.0,6717.0,55.1
