County,Registered Voters,Jesse Petrea (I) (Rep)_Election Day Votes,Jesse Petrea (I) (Rep)_Advanced Voting Votes,Jesse Petrea (I) (Rep)_Absentee by Mail Votes,Jesse Petrea (I) (Rep)_Provisional Votes,Jesse Petrea (I) (Rep)_Choice Total,Michael Mack (Dem)_Election Day Votes,Michael Mack (Dem)_Advanced Voting Votes,Michael Mack (Dem)_Absentee by Mail Votes,Michael Mack (Dem)_Provisional Votes,Michael Mack (Dem)_Choice Total,Total,calc_participation
Bryan,14811.0,700.0,3811.0,586.0,0.0,5097.0,136.0,1069.0,596.0,0.0,1801.0,6898.0,46.6
Chatham,39593.0,7710.0,7983.0,5242.0,26.0,20961.0,1635.0,3234.0,4436.0,9.0,9314.0,30275.0,76.5
