,Precinct,County,Registered Voters,"Flynn D. Broady, Jr. (Dem)_Election Day Votes","Flynn D. Broady, Jr. (Dem)_Advanced Voting Votes","Flynn D. Broady, Jr. (Dem)_Absentee by Mail Votes","Flynn D. Broady, Jr. (Dem)_Provisional Votes","Flynn D. Broady, Jr. (Dem)_Choice Total",Joyette Holmes (I) (Rep)_Election Day Votes,Joyette Holmes (I) (Rep)_Advanced Voting Votes,Joyette Holmes (I) (Rep)_Absentee by Mail Votes,Joyette Holmes (I) (Rep)_Provisional Votes,Joyette Holmes (I) (Rep)_Choice Total,Total,calc_participation
0,Acworth 1A,Cobb,5458.0,213.0,807.0,840.0,2.0,1862.0,274.0,1124.0,660.0,1.0,2059.0,3921.0,71.8
92,Mt Bethel 04,Cobb,2981.0,80.0,290.0,531.0,0.0,901.0,264.0,590.0,636.0,0.0,1490.0,2391.0,80.2
93,North Cobb 01,Cobb,2317.0,121.0,402.0,313.0,1.0,837.0,209.0,385.0,223.0,0.0,817.0,1654.0,71.4
94,Nickajack 01,Cobb,4889.0,302.0,1301.0,867.0,3.0,2473.0,170.0,478.0,333.0,1.0,982.0,3455.0,70.7
95,Norton Park 01,Cobb,4922.0,352.0,710.0,734.0,7.0,1803.0,248.0,536.0,527.0,1.0,1312.0,3115.0,63.3
96,Nicholson 01,Cobb,2455.0,120.0,308.0,335.0,0.0,763.0,308.0,406.0,335.0,1.0,1050.0,1813.0,73.8
97,Oakdale 01,Cobb,3944.0,148.0,711.0,735.0,1.0,1595.0,287.0,558.0,572.0,0.0,1417.0,3012.0,76.4
91,Mt Bethel 03,Cobb,3294.0,86.0,413.0,609.0,0.0,1108.0,219.0,708.0,568.0,0.0,1495.0,2603.0,79.0
98,Oregon 01,Cobb,1614.0,85.0,223.0,188.0,1.0,497.0,178.0,411.0,241.0,1.0,831.0,1328.0,82.3
100,Oregon 03,Cobb,5713.0,441.0,944.0,740.0,6.0,2131.0,218.0,390.0,358.0,3.0,969.0,3100.0,54.3
101,Oregon 04,Cobb,4673.0,312.0,924.0,895.0,4.0,2135.0,202.0,459.0,372.0,1.0,1034.0,3169.0,67.8
102,Oregon 05,Cobb,3846.0,165.0,848.0,607.0,0.0,1620.0,312.0,672.0,426.0,1.0,1411.0,3031.0,78.8
103,Pebblebrook 01,Cobb,5218.0,423.0,1233.0,854.0,6.0,2516.0,128.0,348.0,271.0,1.0,748.0,3264.0,62.6
104,Powers Ferry 01,Cobb,3504.0,183.0,452.0,536.0,3.0,1174.0,354.0,525.0,437.0,0.0,1316.0,2490.0,71.1
