County,Registered Voters,Lynn Smith (I) (Rep)_Election Day Votes,Lynn Smith (I) (Rep)_Advanced Voting Votes,Lynn Smith (I) (Rep)_Absentee by Mail Votes,Lynn Smith (I) (Rep)_Provisional Votes,Lynn Smith (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Carroll,2190.0,567.0,594.0,159.0,0.0,1320.0,1320.0,60.3,1320.0
Coweta,48690.0,8113.0,9717.0,5588.0,4.0,23422.0,23422.0,48.1,23422.0
