County,Registered Voters,Robert Pruitt (Rep)_Election Day Votes,Robert Pruitt (Rep)_Advanced Voting Votes,Robert Pruitt (Rep)_Absentee by Mail Votes,Robert Pruitt (Rep)_Provisional Votes,Robert Pruitt (Rep)_Choice Total,Total,calc_participation,Rep_total
Dodge,11439.0,2519.0,3169.0,920.0,5.0,6613.0,6613.0,57.8,6613.0
Jeff Davis,3304.0,458.0,945.0,233.0,0.0,1636.0,1636.0,49.5,1636.0
Laurens,1171.0,485.0,185.0,108.0,1.0,779.0,779.0,66.5,779.0
Telfair,6032.0,1041.0,1644.0,455.0,4.0,3144.0,3144.0,52.1,3144.0
Wheeler,0.0,528.0,1036.0,236.0,0.0,1800.0,1800.0,0.0,1800.0
