County,Registered Voters,Lee Hawkins (I) (Rep)_Election Day Votes,Lee Hawkins (I) (Rep)_Advanced Voting Votes,Lee Hawkins (I) (Rep)_Absentee by Mail Votes,Lee Hawkins (I) (Rep)_Provisional Votes,Lee Hawkins (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Hall,0.0,4504.0,15042.0,4201.0,19.0,23766.0,23766.0,0.0,23766.0
White,2538.0,306.0,508.0,135.0,0.0,949.0,949.0,37.4,949.0
