,Precinct,County,Registered Voters,Rick Jasperse (I) (Rep)_Election Day Votes,Rick Jasperse (I) (Rep)_Advanced Voting Votes,Rick Jasperse (I) (Rep)_Absentee by Mail Votes,Rick Jasperse (I) (Rep)_Provisional Votes,Rick Jasperse (I) (Rep)_Choice Total,Kayla Hollifield (Dem)_Election Day Votes,Kayla Hollifield (Dem)_Advanced Voting Votes,Kayla Hollifield (Dem)_Absentee by Mail Votes,Kayla Hollifield (Dem)_Provisional Votes,Kayla Hollifield (Dem)_Choice Total,Total,calc_participation
0,Sonoraville,Gordon,5380.0,468.0,676.0,176.0,0.0,1320.0,54.0,93.0,72.0,0.0,219.0,1539.0,28.6
1,Oakman,Gordon,1439.0,428.0,247.0,94.0,0.0,769.0,29.0,37.0,42.0,0.0,108.0,877.0,60.9
2,Fairmount,Gordon,1991.0,661.0,351.0,170.0,1.0,1183.0,62.0,38.0,58.0,0.0,158.0,1341.0,67.4
3,Red Bud,Gordon,2965.0,9.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.4
4,Spring Place,Murray,3671.0,496.0,1294.0,196.0,0.0,1986.0,109.0,209.0,138.0,0.0,456.0,2442.0,66.5
5,Town,Murray,5766.0,398.0,1376.0,296.0,0.0,2070.0,73.0,277.0,135.0,0.0,485.0,2555.0,44.3
6,Carters-Doolittle,Murray,2045.0,441.0,574.0,128.0,0.0,1143.0,49.0,76.0,53.0,0.0,178.0,1321.0,64.6
16,Talking Rock,Pickens,1781.0,473.0,465.0,142.0,3.0,1083.0,26.0,61.0,38.0,0.0,125.0,1208.0,67.8
15,Nelson,Pickens,1474.0,413.0,365.0,93.0,0.0,871.0,47.0,54.0,52.0,0.0,153.0,1024.0,69.5
14,Ludville,Pickens,721.0,305.0,93.0,32.0,0.0,430.0,24.0,13.0,11.0,0.0,48.0,478.0,66.3
13,Jerusalem,Pickens,1145.0,495.0,199.0,65.0,0.0,759.0,30.0,19.0,30.0,0.0,79.0,838.0,73.2
12,Hinton,Pickens,825.0,314.0,148.0,39.0,0.0,501.0,30.0,18.0,9.0,0.0,57.0,558.0,67.6
9,Appalachian,Pickens,1933.0,390.0,585.0,163.0,0.0,1138.0,62.0,101.0,70.0,0.0,233.0,1371.0,70.9
10,Refuge,Pickens,2490.0,552.0,762.0,183.0,0.0,1497.0,58.0,101.0,74.0,0.0,233.0,1730.0,69.5
17,Jasper,Pickens,2517.0,450.0,628.0,165.0,1.0,1244.0,93.0,125.0,96.0,0.0,314.0,1558.0,61.9
8,Sharptop,Pickens,2616.0,587.0,700.0,335.0,0.0,1622.0,86.0,134.0,207.0,0.0,427.0,2049.0,78.3
7,Yellow Creek,Pickens,3571.0,789.0,973.0,335.0,0.0,2097.0,104.0,188.0,227.0,0.0,519.0,2616.0,73.3
11,Hill,Pickens,2042.0,528.0,576.0,169.0,1.0,1274.0,64.0,97.0,77.0,1.0,239.0,1513.0,74.1
18,Tate,Pickens,2651.0,653.0,779.0,201.0,1.0,1634.0,75.0,100.0,66.0,0.0,241.0,1875.0,70.7
