,Precinct,County,Registered Voters,William Irving Nash (I)_Election Day Votes,William Irving Nash (I)_Advanced Voting Votes,William Irving Nash (I)_Absentee by Mail Votes,William Irving Nash (I)_Provisional Votes,William Irving Nash (I)_Choice Total,Total,calc_participation
0,Chalybeate,Meriwether,451.0,157.0,95.0,50.0,0.0,302.0,302.0,67.0
1,Gill I,Meriwether,1662.0,344.0,381.0,230.0,1.0,956.0,956.0,57.5
2,Gill II,Meriwether,1000.0,113.0,160.0,144.0,0.0,417.0,417.0,41.7
3,Odessadale,Meriwether,296.0,54.0,83.0,55.0,1.0,193.0,193.0,65.2
4,Greenville,Meriwether,2009.0,151.0,597.0,245.0,0.0,993.0,993.0,49.4
5,Lone Oak,Meriwether,1263.0,191.0,312.0,170.0,0.0,673.0,673.0,53.3
6,Luthersville,Meriwether,2760.0,443.0,723.0,279.0,0.0,1445.0,1445.0,52.4
7,Alvaton,Meriwether,1528.0,294.0,367.0,184.0,3.0,848.0,848.0,55.5
8,Gay,Meriwether,411.0,93.0,102.0,47.0,0.0,242.0,242.0,58.9
9,Woodbury,Meriwether,1363.0,240.0,312.0,165.0,0.0,717.0,717.0,52.6
10,Warm Springs,Meriwether,1161.0,216.0,294.0,123.0,1.0,634.0,634.0,54.6
11,Durand,Meriwether,730.0,151.0,156.0,80.0,0.0,387.0,387.0,53.0
12,Raleigh,Meriwether,501.0,110.0,154.0,42.0,0.0,306.0,306.0,61.1
13,Cove,Meriwether,202.0,84.0,25.0,32.0,0.0,141.0,141.0,69.8
