County,Registered Voters,Bo Hatchett (Rep)_Election Day Votes,Bo Hatchett (Rep)_Advanced Voting Votes,Bo Hatchett (Rep)_Absentee by Mail Votes,Bo Hatchett (Rep)_Provisional Votes,Bo Hatchett (Rep)_Choice Total,Dee Daley (Dem)_Election Day Votes,Dee Daley (Dem)_Advanced Voting Votes,Dee Daley (Dem)_Absentee by Mail Votes,Dee Daley (Dem)_Provisional Votes,Dee Daley (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Banks,12898.0,1603.0,5029.0,1035.0,11.0,7678.0,143.0,415.0,319.0,3.0,880.0,8558.0,66.4,7678.0,880.0
Franklin,15146.0,2279.0,5344.0,1428.0,2.0,9053.0,317.0,590.0,560.0,0.0,1467.0,10520.0,69.5,9053.0,1467.0
Habersham,28264.0,2683.0,11274.0,3022.0,19.0,16998.0,438.0,1455.0,1144.0,2.0,3039.0,20037.0,70.9,16998.0,3039.0
Hall,0.0,476.0,744.0,197.0,5.0,1422.0,171.0,286.0,161.0,1.0,619.0,2041.0,0.0,1422.0,619.0
Jackson,28962.0,2310.0,9112.0,2043.0,1.0,13466.0,448.0,1511.0,1043.0,0.0,3002.0,16468.0,56.9,13466.0,3002.0
Rabun,13072.0,1180.0,4544.0,1690.0,0.0,7414.0,205.0,888.0,849.0,0.0,1942.0,9356.0,71.6,7414.0,1942.0
Stephens,0.0,1211.0,6728.0,1428.0,4.0,9371.0,294.0,1145.0,681.0,0.0,2120.0,11491.0,0.0,9371.0,2120.0
Towns,10693.0,962.0,4089.0,1233.0,7.0,6291.0,121.0,649.0,653.0,1.0,1424.0,7715.0,72.2,6291.0,1424.0
