County,Registered Voters,Samuel C. Baker_Election Day Votes,Samuel C. Baker_Advanced Voting Votes,Samuel C. Baker_Absentee by Mail Votes,Samuel C. Baker_Provisional Votes,Samuel C. Baker_Choice Total,Total,Michael David Hayes (I)_Election Day Votes,Michael David Hayes (I)_Advanced Voting Votes,Michael David Hayes (I)_Absentee by Mail Votes,Michael David Hayes (I)_Provisional Votes,Michael David Hayes (I)_Choice Total,calc_participation,Ind_total
Montgomery,5463.0,1147.0,1585.0,514.0,0.0,3246.0,3246.0,0.0,0.0,0.0,0.0,0.0,59.4,0.0
Wheeler,0.0,0.0,0.0,0.0,0.0,0.0,1830.0,540.0,1004.0,286.0,0.0,1830.0,0.0,1830.0
