,Precinct,County,Registered Voters,Bruce Thompson (I) (Rep)_Election Day Votes,Bruce Thompson (I) (Rep)_Advanced Voting Votes,Bruce Thompson (I) (Rep)_Absentee by Mail Votes,Bruce Thompson (I) (Rep)_Provisional Votes,Bruce Thompson (I) (Rep)_Choice Total,Travis Johnson (Dem)_Election Day Votes,Travis Johnson (Dem)_Advanced Voting Votes,Travis Johnson (Dem)_Absentee by Mail Votes,Travis Johnson (Dem)_Provisional Votes,Travis Johnson (Dem)_Choice Total,Total,calc_participation
29,Zena Drive,Bartow,6431.0,495.0,1399.0,456.0,4.0,2354.0,272.0,615.0,408.0,2.0,1297.0,3651.0,56.8
28,White,Bartow,2723.0,651.0,735.0,236.0,1.0,1623.0,70.0,99.0,98.0,0.0,267.0,1890.0,69.4
27,Pine Log,Bartow,2132.0,638.0,500.0,180.0,1.0,1319.0,59.0,71.0,74.0,0.0,204.0,1523.0,71.4
26,Hamilton Crossing,Bartow,6598.0,704.0,2117.0,353.0,0.0,3174.0,177.0,486.0,242.0,1.0,906.0,4080.0,61.8
25,Folsom,Bartow,1448.0,402.0,358.0,118.0,0.0,878.0,29.0,44.0,39.0,0.0,112.0,990.0,68.4
24,Emerson,Bartow,3122.0,19.0,14.0,2.0,0.0,35.0,1.0,2.0,2.0,0.0,5.0,40.0,1.3
23,Center,Bartow,4007.0,669.0,1236.0,384.0,2.0,2291.0,108.0,244.0,202.0,0.0,554.0,2845.0,71.0
22,Cassville,Bartow,4588.0,416.0,1244.0,575.0,0.0,2235.0,136.0,393.0,468.0,1.0,998.0,3233.0,70.5
21,Cartersville West,Bartow,8129.0,32.0,87.0,32.0,0.0,151.0,18.0,37.0,31.0,0.0,86.0,237.0,2.9
20,Cartersville East,Bartow,6805.0,527.0,1682.0,546.0,1.0,2756.0,250.0,600.0,503.0,0.0,1353.0,4109.0,60.4
19,Allatoona,Bartow,4729.0,553.0,1136.0,271.0,0.0,1960.0,123.0,291.0,263.0,0.0,677.0,2637.0,55.8
18,Adairsville,Bartow,6995.0,603.0,1843.0,355.0,1.0,2802.0,120.0,330.0,262.0,1.0,713.0,3515.0,50.3
0,Bascomb,Cherokee,4115.0,232.0,493.0,161.0,0.0,886.0,55.0,139.0,120.0,0.0,314.0,1200.0,29.2
16,Victoria,Cherokee,3132.0,544.0,865.0,290.0,0.0,1699.0,114.0,262.0,183.0,0.0,559.0,2258.0,72.1
15,Teasley,Cherokee,7981.0,1055.0,2591.0,724.0,0.0,4370.0,295.0,720.0,543.0,1.0,1559.0,5929.0,74.3
17,Waleska,Cherokee,2875.0,559.0,768.0,387.0,0.0,1714.0,66.0,156.0,249.0,0.0,471.0,2185.0,76.0
13,Salacoa,Cherokee,727.0,260.0,119.0,57.0,0.0,436.0,21.0,15.0,28.0,0.0,64.0,500.0,68.8
1,Bells,Cherokee,5906.0,626.0,1173.0,530.0,1.0,2330.0,256.0,845.0,626.0,0.0,1727.0,4057.0,68.7
2,Booth,Cherokee,3899.0,26.0,64.0,13.0,0.0,103.0,3.0,19.0,24.0,0.0,46.0,149.0,3.8
3,Bridgemill,Cherokee,5113.0,624.0,1860.0,605.0,0.0,3089.0,109.0,437.0,437.0,0.0,983.0,4072.0,79.6
4,Canton,Cherokee,8213.0,616.0,2170.0,1065.0,0.0,3851.0,223.0,729.0,805.0,0.0,1757.0,5608.0,68.3
14,Sutallee,Cherokee,2540.0,683.0,754.0,258.0,0.0,1695.0,87.0,111.0,95.0,1.0,294.0,1989.0,78.3
6,Clayton,Cherokee,4906.0,722.0,1639.0,506.0,1.0,2868.0,108.0,323.0,315.0,0.0,746.0,3614.0,73.7
5,Carmel,Cherokee,4581.0,498.0,849.0,403.0,0.0,1750.0,276.0,502.0,456.0,2.0,1236.0,2986.0,65.2
8,Kellogg,Cherokee,5482.0,704.0,1233.0,482.0,1.0,2420.0,273.0,505.0,415.0,0.0,1193.0,3613.0,65.9
9,Liberty,Cherokee,8350.0,769.0,2426.0,780.0,0.0,3975.0,278.0,908.0,669.0,0.0,1855.0,5830.0,69.8
10,Oak Grove,Cherokee,3749.0,560.0,905.0,390.0,0.0,1855.0,140.0,294.0,300.0,0.0,734.0,2589.0,69.1
11,R M Moore,Cherokee,3468.0,663.0,1181.0,386.0,0.0,2230.0,62.0,116.0,124.0,0.0,302.0,2532.0,73.0
12,R T Jones,Cherokee,2525.0,183.0,667.0,176.0,0.0,1026.0,90.0,233.0,167.0,0.0,490.0,1516.0,60.0
7,Dixie,Cherokee,5733.0,540.0,1305.0,530.0,0.0,2375.0,275.0,668.0,576.0,0.0,1519.0,3894.0,67.9
34,Pitner 01,Cobb,2814.0,353.0,532.0,292.0,0.0,1177.0,175.0,367.0,367.0,1.0,910.0,2087.0,74.2
30,Bells Ferry 04,Cobb,3646.0,474.0,629.0,411.0,0.0,1514.0,188.0,460.0,478.0,1.0,1127.0,2641.0,72.4
31,Big Shanty 02,Cobb,3236.0,312.0,588.0,397.0,2.0,1299.0,177.0,449.0,502.0,0.0,1128.0,2427.0,75.0
32,Kennesaw 1A,Cobb,2499.0,32.0,32.0,13.0,0.0,77.0,21.0,63.0,34.0,1.0,119.0,196.0,7.8
33,Palmer 01,Cobb,2760.0,129.0,229.0,180.0,0.0,538.0,51.0,185.0,189.0,0.0,425.0,963.0,34.9
35,Wade Green 02,Cobb,4718.0,424.0,769.0,486.0,0.0,1679.0,253.0,786.0,736.0,0.0,1775.0,3454.0,73.2
