County,Registered Voters,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_Choice Total,Total,calc_participation,Rep_total
Brantley,11888.0,1935.0,4176.0,726.0,7.0,6844.0,6844.0,57.6,6844.0
Camden,34950.0,4211.0,11166.0,3253.0,4.0,18634.0,18634.0,53.3,18634.0
Charlton,5382.0,615.0,1491.0,315.0,0.0,2421.0,2421.0,45.0,2421.0
Glynn,61952.0,5705.0,19359.0,6010.0,36.0,31110.0,31110.0,50.2,31110.0
McIntosh,9292.0,1011.0,2767.0,1103.0,1.0,4882.0,4882.0,52.5,4882.0
