County,Registered Voters,Emanuel Jones (I) (Dem)_Election Day Votes,Emanuel Jones (I) (Dem)_Advanced Voting Votes,Emanuel Jones (I) (Dem)_Absentee by Mail Votes,Emanuel Jones (I) (Dem)_Provisional Votes,Emanuel Jones (I) (Dem)_Choice Total,Total,calc_participation
DeKalb,74595.0,5365.0,24327.0,14329.0,95.0,44116.0,44116.0,59.1
Henry,70916.0,4337.0,25613.0,10899.0,29.0,40878.0,40878.0,57.6
