County,Registered Voters,Sheila Jones (I) (Dem)_Election Day Votes,Sheila Jones (I) (Dem)_Advanced Voting Votes,Sheila Jones (I) (Dem)_Absentee by Mail Votes,Sheila Jones (I) (Dem)_Provisional Votes,Sheila Jones (I) (Dem)_Choice Total,Total,calc_participation
Cobb,19618.0,751.0,2933.0,2234.0,0.0,5918.0,5918.0,30.2
Fulton,38050.0,2508.0,10909.0,5031.0,249.0,18697.0,18697.0,49.1
