Precinct,County,Registered Voters,Evelyn S. Hubbard (I) (Dem)_Election Day Votes,Evelyn S. Hubbard (I) (Dem)_Advanced Voting Votes,Evelyn S. Hubbard (I) (Dem)_Absentee by Mail Votes,Evelyn S. Hubbard (I) (Dem)_Provisional Votes,Evelyn S. Hubbard (I) (Dem)_Choice Total,Total,
Sylvania,Screven,0,110,369,189,1,669,669,
Hunters,Screven,0,90,127,61,8,286,286,
Newington,Screven,0,243,263,88,0,594,594,
Jenk Hill Fire Sta,Screven,0,149,344,131,1,625,625,
Rocky Ford,Screven,0,96,135,61,0,292,292,
Bay Branch,Screven,0,162,285,67,1,515,515,
Hiltonia,Screven,0,148,266,94,0,508,508,
Screven Rec Dept,Screven,0,57,116,58,3,234,234,
Greenhill Church,Screven,0,164,231,72,0,467,467,
Sr Citizens Center,Screven,0,159,369,154,0,682,682,
Jackson Fire Station,Screven,0,98,75,48,0,221,221,
Cooperville Fire Station,Screven,0,30,84,45,3,162,162,
