Precinct,County,Registered Voters,Bill Doupe (I) (Dem)_Election Day Votes,Bill Doupe (I) (Dem)_Advanced Voting Votes,Bill Doupe (I) (Dem)_Absentee by Mail Votes,Bill Doupe (I) (Dem)_Provisional Votes,Bill Doupe (I) (Dem)_Choice Total,Total,
Senior Citizen Center,Wilkes,1552,173,474,245,5,897,897,
Young Farmers Bldg,Wilkes,1173,124,431,162,1,718,718,
Metasville Fire Sta,Wilkes,610,103,152,95,0,350,350,
Edward B Pope Center,Wilkes,1017,159,283,133,0,575,575,
Rayle City Hall,Wilkes,570,129,119,77,1,326,326,
Courthouse,Wilkes,1001,102,364,146,0,612,612,
Tignal Sch Lunch Rm,Wilkes,896,198,219,154,0,571,571,
