Precinct,County,Registered Voters,Cecil Ray Dye (I) (Rep)_Election Day Votes,Cecil Ray Dye (I) (Rep)_Advanced Voting Votes,Cecil Ray Dye (I) (Rep)_Absentee by Mail Votes,Cecil Ray Dye (I) (Rep)_Provisional Votes,Cecil Ray Dye (I) (Rep)_Choice Total,Total,
Young Harris,Towns,3323,414,1282,499,1,2196,2196,
Macedonia,Towns,3828,346,1602,524,2,2474,2474,
Hiawassee,Towns,3542,286,1554,539,4,2383,2383,
