Precinct,County,Registered Voters,David Rogers (I) (Rep)_Election Day Votes,David Rogers (I) (Rep)_Advanced Voting Votes,David Rogers (I) (Rep)_Absentee by Mail Votes,David Rogers (I) (Rep)_Provisional Votes,David Rogers (I) (Rep)_Choice Total,Total,
Young Harris,Towns,3323,413,1297,489,1,2200,2200,
Macedonia,Towns,3828,351,1616,528,2,2497,2497,
Hiawassee,Towns,3542,287,1547,529,4,2367,2367,
