Precinct,County,Registered Voters,Daisy Weeks-Marisko (Rep)_Election Day Votes,Daisy Weeks-Marisko (Rep)_Advanced Voting Votes,Daisy Weeks-Marisko (Rep)_Absentee by Mail Votes,Daisy Weeks-Marisko (Rep)_Provisional Votes,Daisy Weeks-Marisko (Rep)_Choice Total,Total,
01 Big Creek,Forsyth,11222,704,4592,1887,5,7188,7188,
02 Brandywine,Forsyth,4500,499,1270,600,1,2370,2370,
03 Browns Bridge,Forsyth,10740,915,4805,1335,3,7058,7058,
04 Chestatee,Forsyth,6776,639,3250,737,2,4628,4628,
05 Coal Mountain,Forsyth,7852,706,3690,807,1,5204,5204,
06 Crossroads,Forsyth,7061,579,3348,603,1,4531,4531,
07 Cumming,Forsyth,6281,427,2493,777,1,3698,3698,
08 Mashburn,Forsyth,8296,692,3728,1209,2,5631,5631,
10 Midway,Forsyth,11631,732,5857,1562,4,8155,8155,
15 Heardsville,Forsyth,8091,709,3926,950,0,5585,5585,
16 Otwell,Forsyth,6333,498,2815,898,3,4214,4214,
19 Old Atlanta,Forsyth,3739,228,1744,493,0,2465,2465,
21 South Forsyth,Forsyth,8318,375,4009,1277,2,5663,5663,
25 Windermere,Forsyth,9714,617,4487,1321,3,6428,6428,
27 Concord,Forsyth,9858,975,4946,975,3,6899,6899,
29 Polo,Forsyth,11222,838,4604,1768,0,7210,7210,
34 Fowler,Forsyth,4965,399,1970,700,1,3070,3070,
35 Johns Creek,Forsyth,8444,380,3437,1434,1,5252,5252,
36 Nichols,Forsyth,6989,429,3346,936,4,4715,4715,
37 Sawnee,Forsyth,11952,669,5800,1576,4,8049,8049,
