Precinct,County,Registered Voters,Ron H. Freeman (I) (Rep)_Election Day Votes,Ron H. Freeman (I) (Rep)_Advanced Voting Votes,Ron H. Freeman (I) (Rep)_Absentee by Mail Votes,Ron H. Freeman (I) (Rep)_Provisional Votes,Ron H. Freeman (I) (Rep)_Choice Total,Total,
01 Big Creek,Forsyth,11222,707,4675,1930,4,7316,7316,
02 Brandywine,Forsyth,4500,508,1279,609,1,2397,2397,
03 Browns Bridge,Forsyth,10740,923,4875,1365,3,7166,7166,
04 Chestatee,Forsyth,6776,643,3280,760,2,4685,4685,
05 Coal Mountain,Forsyth,7852,711,3721,824,1,5257,5257,
06 Crossroads,Forsyth,7061,585,3403,617,1,4606,4606,
07 Cumming,Forsyth,6281,425,2537,812,1,3775,3775,
08 Mashburn,Forsyth,8296,702,3791,1246,2,5741,5741,
10 Midway,Forsyth,11631,725,5950,1613,4,8292,8292,
15 Heardsville,Forsyth,8091,714,3975,980,0,5669,5669,
16 Otwell,Forsyth,6333,500,2855,929,3,4287,4287,
19 Old Atlanta,Forsyth,3739,231,1768,504,0,2503,2503,
21 South Forsyth,Forsyth,8318,378,4070,1346,2,5796,5796,
25 Windermere,Forsyth,9714,625,4553,1352,3,6533,6533,
27 Concord,Forsyth,9858,979,5007,998,3,6987,6987,
29 Polo,Forsyth,11222,849,4664,1823,0,7336,7336,
34 Fowler,Forsyth,4965,402,1990,711,1,3104,3104,
35 Johns Creek,Forsyth,8444,380,3480,1454,1,5315,5315,
36 Nichols,Forsyth,6989,429,3399,971,4,4803,4803,
37 Sawnee,Forsyth,11952,677,5887,1619,4,8187,8187,
