Precinct,County,Registered Voters,W. Jeffrey Peebles (I) (Rep)_Election Day Votes,W. Jeffrey Peebles (I) (Rep)_Advanced Voting Votes,W. Jeffrey Peebles (I) (Rep)_Absentee by Mail Votes,W. Jeffrey Peebles (I) (Rep)_Provisional Votes,W. Jeffrey Peebles (I) (Rep)_Choice Total,Total,
Oak Park,Emanuel,686,258,150,47,0,455,455,
Cross-Green,Emanuel,241,54,44,21,0,119,119,
Swainsboro,Emanuel,6988,875,2106,735,1,3717,3717,
Summertown,Emanuel,504,164,111,45,0,320,320,
Stillmore,Emanuel,608,178,110,32,0,320,320,
Blundale,Emanuel,756,228,256,68,0,552,552,
Canoochee,Emanuel,681,253,152,43,0,448,448,
Garfield,Emanuel,489,211,84,35,0,330,330,
Nunez,Emanuel,384,130,88,24,0,242,242,
Twin City,Emanuel,1551,370,433,146,0,949,949,
Adrian,Emanuel,827,248,171,95,0,514,514,
