Precinct,County,Registered Voters,Matt Hatchett (I) (Rep)_Election Day Votes,Matt Hatchett (I) (Rep)_Advanced Voting Votes,Matt Hatchett (I) (Rep)_Absentee by Mail Votes,Matt Hatchett (I) (Rep)_Provisional Votes,Matt Hatchett (I) (Rep)_Choice Total,Total,
Wrightsville,Johnson,3113,64,454,85,0,603,603,
Smith,Johnson,796,237,242,60,0,539,539,
Kite,Johnson,912,275,290,58,0,623,623,
