Precinct,County,Registered Voters,Eddie Fairbanks (I) (Dem)_Election Day Votes,Eddie Fairbanks (I) (Dem)_Advanced Voting Votes,Eddie Fairbanks (I) (Dem)_Absentee by Mail Votes,Eddie Fairbanks (I) (Dem)_Provisional Votes,Eddie Fairbanks (I) (Dem)_Choice Total,Total,
Coleman,Randolph,229,50,67,25,1,143,143,
Shellman,Randolph,929,219,185,131,1,536,536,
Benevolence,Randolph,354,70,101,28,0,199,199,
Cuthbert-Courthouse,Randolph,2253,176,793,294,0,1263,1263,
Cuthbert,Randolph,323,49,131,45,1,226,226,
Springvale,Randolph,253,45,79,44,0,168,168,
