Precinct,County,Registered Voters,Jeff Watson (I) (Rep)_Election Day Votes,Jeff Watson (I) (Rep)_Advanced Voting Votes,Jeff Watson (I) (Rep)_Absentee by Mail Votes,Jeff Watson (I) (Rep)_Provisional Votes,Jeff Watson (I) (Rep)_Choice Total,Total,
Precinct 1,Taylor,1108,111,305,118,2,536,536,
Precinct 5,Taylor,2219,206,1079,194,8,1487,1487,
Precinct 6,Taylor,2073,240,812,321,3,1376,1376,
