Precinct,County,Registered Voters,Gary C. Lowe (I) (Rep)_Election Day Votes,Gary C. Lowe (I) (Rep)_Advanced Voting Votes,Gary C. Lowe (I) (Rep)_Absentee by Mail Votes,Gary C. Lowe (I) (Rep)_Provisional Votes,Gary C. Lowe (I) (Rep)_Choice Total,Total,
Precinct 1,Taylor,1108,108,277,113,2,500,500,
Precinct 5,Taylor,2219,196,1067,184,8,1455,1455,
Precinct 6,Taylor,2073,237,796,305,3,1341,1341,
