Precinct,County,Registered Voters,Shirley Graham (I) (Dem)_Election Day Votes,Shirley Graham (I) (Dem)_Advanced Voting Votes,Shirley Graham (I) (Dem)_Absentee by Mail Votes,Shirley Graham (I) (Dem)_Provisional Votes,Shirley Graham (I) (Dem)_Choice Total,Total,
Precinct 1,Taylor,1108,136,332,143,2,613,613,
Precinct 5,Taylor,2219,166,900,176,4,1246,1246,
Precinct 6,Taylor,2073,207,695,342,2,1246,1246,
