Precinct,County,Registered Voters,Nancy Kitchings Aspinwall (I) (Dem)_Election Day Votes,Nancy Kitchings Aspinwall (I) (Dem)_Advanced Voting Votes,Nancy Kitchings Aspinwall (I) (Dem)_Absentee by Mail Votes,Nancy Kitchings Aspinwall (I) (Dem)_Provisional Votes,Nancy Kitchings Aspinwall (I) (Dem)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,113,392,209,0,714,714,
Lyman Hall School,Liberty,4542,372,1167,665,0,2204,2204,
Lewis Frasier School,Liberty,4317,296,1476,721,0,2493,2493,
Memorial Dr East,Liberty,1976,143,495,312,3,953,953,
Button Gwinnett,Liberty,2304,126,201,125,0,452,452,
Town of Allenhurst,Liberty,2398,214,851,381,0,1446,1446,
Hinesville,Liberty,1984,140,567,272,0,979,979,
Liberty County Complex,Liberty,4379,270,1535,629,0,2434,2434,
Walthourville,Liberty,3016,215,961,397,0,1573,1573,
Fleming West,Liberty,505,58,158,107,0,323,323,
Fleming East,Liberty,3239,312,918,341,0,1571,1571,
Gum Branch,Liberty,3193,272,818,386,1,1477,1477,
Hinesville Lodge 271,Liberty,2646,242,738,422,0,1402,1402,
