Precinct,County,Registered Voters,Al Williams (I) (Dem)_Election Day Votes,Al Williams (I) (Dem)_Advanced Voting Votes,Al Williams (I) (Dem)_Absentee by Mail Votes,Al Williams (I) (Dem)_Provisional Votes,Al Williams (I) (Dem)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,109,389,214,0,712,712,
Lyman Hall School,Liberty,4542,372,1149,648,0,2169,2169,
Lewis Frasier School,Liberty,4317,298,1410,698,0,2406,2406,
Memorial Dr East,Liberty,1976,144,495,305,3,947,947,
Town of Allenhurst,Liberty,2398,212,832,381,0,1425,1425,
Hinesville,Liberty,1984,134,521,260,0,915,915,
Liberty County Complex,Liberty,4379,266,1458,610,0,2334,2334,
Walthourville,Liberty,3016,218,968,383,0,1569,1569,
Fleming West,Liberty,505,56,154,98,0,308,308,
Fleming East,Liberty,3239,295,838,308,0,1441,1441,
Gum Branch,Liberty,3193,253,768,374,1,1396,1396,
Hinesville Lodge 271,Liberty,2646,241,733,410,0,1384,1384,
