Precinct,County,Registered Voters,Jerry Holcomb (I)_Election Day Votes,Jerry Holcomb (I)_Advanced Voting Votes,Jerry Holcomb (I)_Absentee by Mail Votes,Jerry Holcomb (I)_Provisional Votes,Jerry Holcomb (I)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,86,265,155,0,506,506,
Lyman Hall School,Liberty,4542,335,955,556,0,1846,1846,
Lewis Frasier School,Liberty,4317,282,1280,610,0,2172,2172,
Memorial Dr East,Liberty,1976,121,410,263,3,797,797,
Button Gwinnett,Liberty,2304,129,192,109,0,430,430,
Town of Allenhurst,Liberty,2398,190,702,322,0,1214,1214,
Hinesville,Liberty,1984,123,496,224,0,843,843,
Liberty County Complex,Liberty,4379,261,1337,487,0,2085,2085,
Walthourville,Liberty,3016,207,808,335,0,1350,1350,
Fleming West,Liberty,505,48,130,74,0,252,252,
Fleming East,Liberty,3239,321,891,319,0,1531,1531,
Gum Branch,Liberty,3193,259,704,326,1,1290,1290,
Hinesville Lodge 271,Liberty,2646,219,601,377,0,1197,1197,
