Precinct,County,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
Lewis Frasier School,Liberty,4317,0,1,1,0,2,2,
Memorial Dr East,Liberty,1976,0,3,0,0,3,3,
Walthourville,Liberty,3016,175,648,236,0,1059,1059,
Gum Branch,Liberty,3193,320,716,240,0,1276,1276,
Hinesville Lodge 271,Liberty,2646,208,523,261,0,992,992,
