Precinct,County,Registered Voters,Donald L. Lovette (I) (Dem)_Election Day Votes,Donald L. Lovette (I) (Dem)_Advanced Voting Votes,Donald L. Lovette (I) (Dem)_Absentee by Mail Votes,Donald L. Lovette (I) (Dem)_Provisional Votes,Donald L. Lovette (I) (Dem)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,104,387,205,0,696,696,
Lyman Hall School,Liberty,4542,383,1162,668,0,2213,2213,
Lewis Frasier School,Liberty,4317,302,1438,700,0,2440,2440,
Memorial Dr East,Liberty,1976,140,499,313,3,955,955,
Button Gwinnett,Liberty,2304,130,201,125,0,456,456,
Town of Allenhurst,Liberty,2398,217,840,383,0,1440,1440,
Hinesville,Liberty,1984,135,548,270,0,953,953,
Liberty County Complex,Liberty,4379,267,1487,617,0,2371,2371,
Walthourville,Liberty,3016,219,971,396,0,1586,1586,
Fleming West,Liberty,505,57,153,98,0,308,308,
Fleming East,Liberty,3239,305,879,320,1,1505,1505,
Gum Branch,Liberty,3193,266,775,376,1,1418,1418,
Hinesville Lodge 271,Liberty,2646,239,739,420,0,1398,1398,
