Precinct,County,Registered Voters,Melinda Anderson (I) (Dem)_Election Day Votes,Melinda Anderson (I) (Dem)_Advanced Voting Votes,Melinda Anderson (I) (Dem)_Absentee by Mail Votes,Melinda Anderson (I) (Dem)_Provisional Votes,Melinda Anderson (I) (Dem)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,107,396,209,0,712,712,
Lyman Hall School,Liberty,4542,379,1181,663,0,2223,2223,
Lewis Frasier School,Liberty,4317,305,1473,716,0,2494,2494,
Memorial Dr East,Liberty,1976,141,500,313,3,957,957,
Button Gwinnett,Liberty,2304,129,199,126,0,454,454,
Town of Allenhurst,Liberty,2398,216,856,382,0,1454,1454,
Hinesville,Liberty,1984,140,573,267,0,980,980,
Liberty County Complex,Liberty,4379,272,1518,626,0,2416,2416,
Walthourville,Liberty,3016,218,969,392,0,1579,1579,
Fleming West,Liberty,505,58,161,102,0,321,321,
Fleming East,Liberty,3239,311,890,336,1,1538,1538,
Gum Branch,Liberty,3193,274,802,378,1,1455,1455,
Hinesville Lodge 271,Liberty,2646,243,737,422,0,1402,1402,
