Precinct,County,Registered Voters,Wes Whitfield (I) (Rep)_Election Day Votes,Wes Whitfield (I) (Rep)_Advanced Voting Votes,Wes Whitfield (I) (Rep)_Absentee by Mail Votes,Wes Whitfield (I) (Rep)_Provisional Votes,Wes Whitfield (I) (Rep)_Choice Total,Total,
Anderson,Banks,1533,218,583,120,1,922,922,
Baldwin,Banks,876,95,331,131,0,557,557,
Berlin,Banks,415,45,188,27,1,261,261,
Bushville,Banks,816,121,303,53,1,478,478,
Columbia,Banks,363,65,167,32,0,264,264,
Davids,Banks,1977,256,755,142,4,1157,1157,
Golden Hill,Banks,1008,130,338,77,0,545,545,
Grove River,Banks,600,96,236,71,0,403,403,
Hollingsworth,Banks,667,89,288,61,1,439,439,
Homer,Banks,1544,182,664,126,1,973,973,
Poplar Springs,Banks,1775,230,732,158,1,1121,1121,
Washington,Banks,704,86,306,56,1,449,449,
Wilmonts,Banks,620,76,261,57,0,394,394,
