Precinct,County,Registered Voters,Atha Dalton (I) (Rep)_Election Day Votes,Atha Dalton (I) (Rep)_Advanced Voting Votes,Atha Dalton (I) (Rep)_Absentee by Mail Votes,Atha Dalton (I) (Rep)_Provisional Votes,Atha Dalton (I) (Rep)_Choice Total,Total,
Anderson,Banks,1533,220,582,120,1,923,923,
Baldwin,Banks,876,97,330,128,0,555,555,
Berlin,Banks,415,45,189,27,1,262,262,
Bushville,Banks,816,123,303,52,1,479,479,
Columbia,Banks,363,65,161,33,0,259,259,
Davids,Banks,1977,255,757,140,4,1156,1156,
Golden Hill,Banks,1008,133,342,77,0,552,552,
Grove River,Banks,600,95,232,68,0,395,395,
Hollingsworth,Banks,667,86,286,59,1,432,432,
Homer,Banks,1544,179,660,124,1,964,964,
Poplar Springs,Banks,1775,232,731,157,1,1121,1121,
Washington,Banks,704,85,305,56,1,447,447,
Wilmonts,Banks,620,75,260,56,0,391,391,
