Precinct,County,Registered Voters,Trey Rhodes (I) (Rep)_Election Day Votes,Trey Rhodes (I) (Rep)_Advanced Voting Votes,Trey Rhodes (I) (Rep)_Absentee by Mail Votes,Trey Rhodes (I) (Rep)_Provisional Votes,Trey Rhodes (I) (Rep)_Choice Total,Total,
101,Putnam,3264,234,1041,367,0,1642,1642,
104,Putnam,3380,159,754,267,0,1180,1180,
105,Putnam,3734,449,1564,718,0,2731,2731,
106,Putnam,1332,308,438,171,0,917,917,
