Precinct,County,Registered Voters,Lynn Gilpin (I) (Rep)_Election Day Votes,Lynn Gilpin (I) (Rep)_Advanced Voting Votes,Lynn Gilpin (I) (Rep)_Absentee by Mail Votes,Lynn Gilpin (I) (Rep)_Provisional Votes,Lynn Gilpin (I) (Rep)_Choice Total,Total,
104,Putnam,3380,92,430,133,0,655,655,
106,Putnam,1332,309,437,172,0,918,918,
107,Putnam,4293,96,304,147,0,547,547,
