Precinct,County,Registered Voters,Steven A. Weiner (I) (Rep)_Election Day Votes,Steven A. Weiner (I) (Rep)_Advanced Voting Votes,Steven A. Weiner (I) (Rep)_Absentee by Mail Votes,Steven A. Weiner (I) (Rep)_Provisional Votes,Steven A. Weiner (I) (Rep)_Choice Total,Total,
101,Putnam,3264,29,143,38,0,210,210,
104,Putnam,3380,8,54,20,0,82,82,
105,Putnam,3734,446,1557,721,0,2724,2724,
