Precinct,County,Registered Voters,Trevor J. Addison (Rep)_Election Day Votes,Trevor J. Addison (Rep)_Advanced Voting Votes,Trevor J. Addison (Rep)_Absentee by Mail Votes,Trevor J. Addison (Rep)_Provisional Votes,Trevor J. Addison (Rep)_Choice Total,Denise L. Hill (Dem)_Election Day Votes,Denise L. Hill (Dem)_Advanced Voting Votes,Denise L. Hill (Dem)_Absentee by Mail Votes,Denise L. Hill (Dem)_Provisional Votes,Denise L. Hill (Dem)_Choice Total,Total,
101,Putnam,3264,156,829,223,0,1208,145,467,367,0,979,2187,
104,Putnam,3380,150,779,224,0,1153,152,547,459,0,1158,2311,
105,Putnam,3734,412,1466,623,0,2501,55,187,247,0,489,2990,
106,Putnam,1332,294,409,148,0,851,25,59,59,0,143,994,
107,Putnam,4293,532,1477,588,0,2597,90,208,246,0,544,3141,
