Precinct,County,Registered Voters,Jake Relihan (I) (Rep)_Election Day Votes,Jake Relihan (I) (Rep)_Advanced Voting Votes,Jake Relihan (I) (Rep)_Absentee by Mail Votes,Jake Relihan (I) (Rep)_Provisional Votes,Jake Relihan (I) (Rep)_Choice Total,Total,
Pearson County,Atkinson,1802,252,738,91,0,1081,1081,
Axson,Atkinson,742,202,253,27,1,483,483,
Willacoochee,Atkinson,1311,280,358,74,0,712,712,
Pearson City,Atkinson,944,117,267,60,0,444,444,
