Precinct,County,Registered Voters,Shirley Frazier Cooper (I) (Dem)_Election Day Votes,Shirley Frazier Cooper (I) (Dem)_Advanced Voting Votes,Shirley Frazier Cooper (I) (Dem)_Absentee by Mail Votes,Shirley Frazier Cooper (I) (Dem)_Provisional Votes,Shirley Frazier Cooper (I) (Dem)_Choice Total,Total,
Pearson County,Atkinson,1802,9,33,1,0,43,43,
Pearson City,Atkinson,944,85,192,50,0,327,327,
