index,County,Precinct,Registered Voters,Richard Higgins (I) (Rep)_Election Day Votes,Richard Higgins (I) (Rep)_Advanced Voting Votes,Richard Higgins (I) (Rep)_Absentee by Mail Votes,Richard Higgins (I) (Rep)_Provisional Votes,Richard Higgins (I) (Rep)_Choice Total,Total,
0,Hall,Wilson,0,458,1899,1151,2,3510,3510,
1,Hall,Chicopee,0,360,1061,353,1,1775,1775,
2,Hall,Oakwood I,0,323,753,245,0,1321,1321,
3,Hall,Oakwood II,0,464,1633,537,1,2635,2635,
4,Hall,Flowery Branch I,0,488,1706,580,0,2774,2774,
5,Hall,Flowery Branch II,0,463,1251,365,4,2083,2083,
6,Hall,Roberts,0,580,2177,898,1,3656,3656,
7,Hall,Morgan I,0,514,1729,435,0,2678,2678,
8,Hall,Morgan II,0,457,1856,571,2,2886,2886,
9,Hall,Candler,0,669,2044,648,0,3361,3361,
10,Hall,Tadmore,0,660,1504,554,5,2723,2723,
11,Hall,Glade,0,413,1340,410,3,2166,2166,
12,Hall,Lula,0,587,1293,339,9,2228,2228,
13,Hall,Clermont,0,435,1743,369,1,2548,2548,
14,Hall,Quillians,0,246,1458,319,1,2024,2024,
15,Hall,Bark Camp,0,530,2523,702,3,3758,3758,
16,Hall,Chestatee,0,531,1519,514,2,2566,2566,
17,Hall,Fork,0,555,1265,454,0,2274,2274,
18,Hall,Whelchel,0,418,1869,554,0,2841,2841,
19,Hall,West Whelchel,0,375,1606,790,1,2772,2772,
20,Hall,Gainesville I,0,453,1191,602,4,2250,2250,
21,Hall,Gainesville II,0,208,385,312,1,906,906,
22,Hall,Gainesville III,0,511,993,400,2,1906,1906,
23,Hall,Gainesville IV,0,257,779,330,0,1366,1366,
24,Hall,Gainesville V,0,182,423,159,0,764,764,
25,Hall,Gillsville,0,332,393,96,0,821,821,
26,Hall,Big Hickory,0,399,1916,479,1,2795,2795,
27,Hall,Friendship I,0,608,3799,1479,2,5888,5888,
28,Hall,Friendship II,0,445,1337,325,2,2109,2109,
29,Hall,Friendship III,0,410,2010,443,2,2865,2865,
30,Hall,Friendship IV,0,207,1812,357,3,2379,2379,
