Precinct,County,Registered Voters,Melvin Preston Wynens (I)_Election Day Votes,Melvin Preston Wynens (I)_Advanced Voting Votes,Melvin Preston Wynens (I)_Absentee by Mail Votes,Melvin Preston Wynens (I)_Provisional Votes,Melvin Preston Wynens (I)_Choice Total,Total,
Wyatt,Jasper,1940,431,464,183,1,1079,1079,
Monticello,Jasper,4516,331,1703,554,10,2598,2598,
Martin-Burney,Jasper,3976,726,1299,377,1,2403,2403,
