Precinct,County,Registered Voters,"Don Montgomery, Jr. (I) (Rep)_Election Day Votes","Don Montgomery, Jr. (I) (Rep)_Advanced Voting Votes","Don Montgomery, Jr. (I) (Rep)_Absentee by Mail Votes","Don Montgomery, Jr. (I) (Rep)_Provisional Votes","Don Montgomery, Jr. (I) (Rep)_Choice Total",Total,
Pembroke,Bryan,2653,290,871,165,0,1326,1326,
Danielsiding,Bryan,2291,268,930,222,0,1420,1420,
Ellabell,Bryan,2341,404,859,156,1,1420,1420,
Black Creek,Bryan,2995,392,987,191,1,1571,1571,
Ways Station,Bryan,1974,214,601,150,1,966,966,
RH Rec Complex,Bryan,3264,290,1063,253,1,1607,1607,
JF Gregory Park,Bryan,2885,179,1464,270,0,1913,1913,
Keller,Bryan,4270,381,2021,357,0,2759,2759,
Hwy 144 East,Bryan,5365,391,2334,515,0,3240,3240,
Public Safety Complex,Bryan,2570,266,805,174,1,1246,1246,
