Precinct,County,Registered Voters,"Billy D. Reynolds, Sr. (Rep)_Election Day Votes","Billy D. Reynolds, Sr. (Rep)_Advanced Voting Votes","Billy D. Reynolds, Sr. (Rep)_Absentee by Mail Votes","Billy D. Reynolds, Sr. (Rep)_Provisional Votes","Billy D. Reynolds, Sr. (Rep)_Choice Total",Total,
Pembroke,Bryan,2653,291,870,163,0,1324,1324,
Danielsiding,Bryan,2291,267,942,222,0,1431,1431,
Ellabell,Bryan,2341,406,873,159,1,1439,1439,
Black Creek,Bryan,2995,397,1000,194,1,1592,1592,
Ways Station,Bryan,1974,221,607,149,1,978,978,
RH Rec Complex,Bryan,3264,288,1067,256,1,1612,1612,
JF Gregory Park,Bryan,2885,177,1481,279,0,1937,1937,
Keller,Bryan,4270,380,2008,345,0,2733,2733,
Hwy 144 East,Bryan,5365,397,2322,520,1,3240,3240,
Public Safety Complex,Bryan,2570,269,807,176,1,1253,1253,
