Precinct,County,Registered Voters,Ben Watson (I) (Rep)_Election Day Votes,Ben Watson (I) (Rep)_Advanced Voting Votes,Ben Watson (I) (Rep)_Absentee by Mail Votes,Ben Watson (I) (Rep)_Provisional Votes,Ben Watson (I) (Rep)_Choice Total,Total,
Pembroke,Bryan,2653,293,846,160,0,1299,1299,
Danielsiding,Bryan,2291,266,926,218,0,1410,1410,
Ellabell,Bryan,2341,407,854,152,1,1414,1414,
Black Creek,Bryan,2995,394,984,190,1,1569,1569,
Ways Station,Bryan,1974,212,589,137,1,939,939,
RH Rec Complex,Bryan,3264,282,1050,246,1,1579,1579,
JF Gregory Park,Bryan,2885,179,1462,278,0,1919,1919,
Keller,Bryan,4270,373,2020,332,0,2725,2725,
Hwy 144 East,Bryan,5365,403,2291,504,0,3198,3198,
Public Safety Complex,Bryan,2570,263,808,163,1,1235,1235,
