Precinct,County,Registered Voters,W._Election Day Votes,W._Advanced Voting Votes,W._Absentee by Mail Votes,W._Provisional Votes,W._Choice Total,Total,
Coleman,Randolph,229,52,71,31,1,155,155,
Shellman,Randolph,929,243,221,134,1,599,599,
Benevolence,Randolph,354,82,122,30,0,234,234,
Cuthbert-Courthouse,Randolph,2253,175,863,303,0,1341,1341,
Cuthbert,Randolph,323,47,130,44,1,222,222,
Springvale,Randolph,253,41,84,45,0,170,170,
