Precinct,County,Registered Voters,Gerald E. Greene (I) (Rep)_Election Day Votes,Gerald E. Greene (I) (Rep)_Advanced Voting Votes,Gerald E. Greene (I) (Rep)_Absentee by Mail Votes,Gerald E. Greene (I) (Rep)_Provisional Votes,Gerald E. Greene (I) (Rep)_Choice Total,Joyce Barlow (Dem)_Election Day Votes,Joyce Barlow (Dem)_Advanced Voting Votes,Joyce Barlow (Dem)_Absentee by Mail Votes,Joyce Barlow (Dem)_Provisional Votes,Joyce Barlow (Dem)_Choice Total,Total,
Coleman,Randolph,229,30,55,17,0,102,27,27,14,1,69,171,
Shellman,Randolph,929,152,167,64,0,383,128,80,92,1,301,684,
Benevolence,Randolph,354,56,110,21,0,187,32,22,13,0,67,254,
Cuthbert-Courthouse,Randolph,2253,85,582,141,0,808,113,381,207,0,701,1509,
Cuthbert,Randolph,323,2,30,9,0,41,52,108,37,1,198,239,
Springvale,Randolph,253,27,37,22,0,86,22,52,27,0,101,187,
