Precinct,County,Registered Voters,Tammy S. Brown (I) (Rep)_Election Day Votes,Tammy S. Brown (I) (Rep)_Advanced Voting Votes,Tammy S. Brown (I) (Rep)_Absentee by Mail Votes,Tammy S. Brown (I) (Rep)_Provisional Votes,Tammy S. Brown (I) (Rep)_Choice Total,Total,
01 Bethlehem Community Center 3359,Barrow,560,1144,316,0,2020,2020,,
02 Bethlehem Church - 211,Barrow,6784,834,2754,838,0,4426,4426,
03 Hmong New Hope Alliance Church 6364,Barrow,1000,1915,648,1,3564,3564,,
04 Covenant Life Sanctuary,Barrow,4012,516,1313,394,0,2223,2223,
05 Fire Station 1 (Statham),Barrow,8336,1100,3087,893,0,5080,5080,
08 First Baptist Church Winder7009,Barrow,832,2807,731,0,4370,4370,,
13 Winder Community Center,Barrow,9393,903,2967,893,0,4763,4763,
16 The Church at Winder,Barrow,10348,1223,3466,1010,2,5701,5701,
