Precinct,County,Registered Voters,Brad Smith (I) (Rep)_Election Day Votes,Brad Smith (I) (Rep)_Advanced Voting Votes,Brad Smith (I) (Rep)_Absentee by Mail Votes,Brad Smith (I) (Rep)_Provisional Votes,Brad Smith (I) (Rep)_Choice Total,Total,
01 Bethlehem Community Center 3359,Barrow,551,1137,318,0,2006,2006,,
02 Bethlehem Church - 211,Barrow,6784,834,2745,834,0,4413,4413,
03 Hmong New Hope Alliance Church 6364,Barrow,999,1912,650,1,3562,3562,,
04 Covenant Life Sanctuary,Barrow,4012,514,1310,390,0,2214,2214,
05 Fire Station 1 (Statham),Barrow,8336,1100,3068,887,0,5055,5055,
08 First Baptist Church Winder7009,Barrow,833,2787,714,0,4334,4334,,
13 Winder Community Center,Barrow,9393,904,2937,880,0,4721,4721,
16 The Church at Winder,Barrow,10348,1219,3429,984,3,5635,5635,
