Precinct,County,Registered Voters,Pat Graham (I) (Rep)_Election Day Votes,Pat Graham (I) (Rep)_Advanced Voting Votes,Pat Graham (I) (Rep)_Absentee by Mail Votes,Pat Graham (I) (Rep)_Provisional Votes,Pat Graham (I) (Rep)_Choice Total,Total,
01 Bethlehem Community Center 3359,Barrow,547,1128,314,0,1989,1989,,
02 Bethlehem Church - 211,Barrow,6784,822,2723,829,0,4374,4374,
03 Hmong New Hope Alliance Church 6364,Barrow,996,1901,646,1,3544,3544,,
04 Covenant Life Sanctuary,Barrow,4012,517,1294,388,0,2199,2199,
05 Fire Station 1 (Statham),Barrow,8336,1086,3051,882,0,5019,5019,
08 First Baptist Church Winder7009,Barrow,823,2768,722,0,4313,4313,,
13 Winder Community Center,Barrow,9393,887,2899,879,0,4665,4665,
16 The Church at Winder,Barrow,10348,1212,3431,1008,2,5653,5653,
