Precinct,County,Registered Voters,Rickey Bailey (I) (Rep)_Election Day Votes,Rickey Bailey (I) (Rep)_Advanced Voting Votes,Rickey Bailey (I) (Rep)_Absentee by Mail Votes,Rickey Bailey (I) (Rep)_Provisional Votes,Rickey Bailey (I) (Rep)_Choice Total,Total,
02 Bethlehem Church - 211,Barrow,6784,230,825,230,0,1285,1285,
04 Covenant Life Sanctuary,Barrow,4012,31,81,30,0,142,142,
13 Winder Community Center,Barrow,9393,730,2395,680,0,3805,3805,
