Precinct,County,Registered Voters,Wayne Bridges (I) (Rep)_Election Day Votes,Wayne Bridges (I) (Rep)_Advanced Voting Votes,Wayne Bridges (I) (Rep)_Absentee by Mail Votes,Wayne Bridges (I) (Rep)_Provisional Votes,Wayne Bridges (I) (Rep)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,471,1206,229,0,1906,1906,
Lewis Methodist Church,Columbia,3737,506,1412,439,2,2359,2359,
Woodlawn Baptist Church,Columbia,1290,185,540,162,0,887,887,
Patriots Park,Columbia,4046,449,1704,343,0,2496,2496,
New Life Church,Columbia,4438,496,1504,350,2,2352,2352,
Harlem Branch Library,Columbia,2642,417,995,242,2,1656,1656,
Harlem Senior Center,Columbia,1819,381,593,163,0,1137,1137,
Second Mt Moriah Baptist Church1027,Columbia,181,444,91,1,717,717,,
Bessie Thomas Center,Columbia,799,120,388,70,2,580,580,
Philadelphia Church,Columbia,2355,292,858,208,1,1359,1359,
Liberty Park-Grovetown,Columbia,3410,431,1007,273,2,1713,1713,
Grovetown Methodist Church,Columbia,2736,360,609,220,6,1195,1195,
G A Apostolic Church,Columbia,1701,295,514,190,1,1000,1000,
Grovetown Public Safety Station 23696,Columbia,385,1118,339,1,1843,1843,,
Grove First Baptist Church,Columbia,2954,273,889,236,1,1399,1399,
Eubank-Blanchard Center,Columbia,1576,426,547,103,1,1077,1077,
Second Mt Carmel Baptist Church731,Columbia,158,178,57,0,393,393,,
Damascus Baptist Church,Columbia,1023,377,321,83,1,782,782,
Col Cty Bd of Edu,Columbia,2143,278,849,241,3,1371,1371,
Greenbrier High,Columbia,3369,576,1437,344,1,2358,2358,
Parkway Baptist Church,Columbia,4596,696,1894,436,3,3029,3029,
Riverview Church,Columbia,1320,190,554,161,0,905,905,
Grace Baptist Church,Columbia,3558,486,1362,316,0,2164,2164,
Christ Sanctified,Columbia,2521,412,901,255,1,1569,1569,
Blanchard Park,Columbia,2026,302,588,217,2,1109,1109,
Belair Baptist Church,Columbia,2440,438,773,254,2,1467,1467,
Marvin Methodist,Columbia,1937,413,497,218,0,1128,1128,
Westside Baptist Church,Columbia,1516,344,476,239,0,1059,1059,
Trinity Baptist Church,Columbia,2836,524,923,340,3,1790,1790,
Abilene Baptist,Columbia,2046,374,612,243,0,1229,1229,
Augusta Christian,Columbia,2179,401,658,281,1,1341,1341,
Savannah Rapids Pavilion,Columbia,1549,161,702,366,0,1229,1229,
Gospel Water Branch,Columbia,2096,313,804,278,2,1397,1397,
Genesis Church,Columbia,1830,295,657,269,0,1221,1221,
Stevens Creek Church,Columbia,2760,429,1118,397,1,1945,1945,
Mtz Col Fire Hdqtr,Columbia,1291,269,303,120,1,693,693,
Lakeside Middle,Columbia,1923,338,634,171,1,1144,1144,
Martinez Baptist,Columbia,1962,427,459,185,0,1071,1071,
Gold Cross EMS,Columbia,1889,273,565,346,4,1188,1188,
Church of Our Savior,Columbia,2310,414,625,279,4,1322,1322,
West Acres Baptist,Columbia,2424,360,912,283,1,1556,1556,
Journey Comm Church,Columbia,1268,184,570,177,3,934,934,
Wesley Methodist,Columbia,2434,395,1003,268,3,1669,1669,
Col Cty Main Library,Columbia,2106,237,850,214,1,1302,1302,
Christ Church Presbyterian,Columbia,2081,335,869,217,2,1423,1423,
Blue Ridge Elementary,Columbia,2301,374,776,227,1,1378,1378,
Christ The King Luth Church,Columbia,2148,230,893,336,1,1460,1460,
