Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,454,1149,179,0,1782,39,146,110,0,295,8,8,7,0,23,2100,
Lewis Methodist Church,Columbia,3737,410,1055,255,1,1721,129,596,390,1,1116,24,21,12,0,57,2894,
Woodlawn Baptist Church,Columbia,1290,170,457,99,0,726,27,143,105,0,275,5,4,2,0,11,1012,
Patriots Park,Columbia,4046,349,1307,178,0,1834,130,674,344,0,1148,17,43,11,0,71,3053,
New Life Church,Columbia,4438,329,934,169,1,1433,236,1023,430,3,1692,36,37,12,0,85,3210,
Harlem Branch Library,Columbia,2642,365,864,174,2,1405,82,245,133,0,460,9,9,10,0,28,1893,
Harlem Senior Center,Columbia,1819,307,451,69,0,827,115,240,185,0,540,10,12,2,0,24,1391,
Second Mt Moriah Baptist Church1027,Columbia,163,393,66,1,623,26,80,53,0,159,4,10,3,0,17,799,,
Bessie Thomas Center,Columbia,799,112,359,58,2,531,14,50,24,0,88,2,6,2,0,10,629,
Philadelphia Church,Columbia,2355,205,614,115,1,935,118,423,198,0,739,18,28,9,0,55,1729,
Liberty Park-Grovetown,Columbia,3410,279,646,137,2,1064,220,609,318,2,1149,16,18,5,0,39,2252,
Grovetown Methodist Church,Columbia,2736,192,305,108,2,607,258,520,268,5,1051,8,14,6,0,28,1686,
G A Apostolic Church,Columbia,1701,249,371,117,0,737,78,244,148,1,471,4,15,2,0,21,1229,
Grovetown Public Safety Station 23696,Columbia,237,650,133,1,1021,219,790,413,1,1423,24,29,10,0,63,2507,,
