Precinct,County,Registered Voters,Alice Wheatley Padgett (I) (Rep)_Election Day Votes,Alice Wheatley Padgett (I) (Rep)_Advanced Voting Votes,Alice Wheatley Padgett (I) (Rep)_Absentee by Mail Votes,Alice Wheatley Padgett (I) (Rep)_Provisional Votes,Alice Wheatley Padgett (I) (Rep)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,472,1191,228,0,1891,1891,
Lewis Methodist Church,Columbia,3737,509,1406,430,2,2347,2347,
Woodlawn Baptist Church,Columbia,1290,187,535,158,0,880,880,
Patriots Park,Columbia,4046,445,1696,344,0,2485,2485,
New Life Church,Columbia,4438,487,1479,348,2,2316,2316,
Harlem Branch Library,Columbia,2642,410,988,244,2,1644,1644,
Harlem Senior Center,Columbia,1819,375,586,157,0,1118,1118,
Second Mt Moriah Baptist Church1027,Columbia,177,442,92,1,712,712,,
Bessie Thomas Center,Columbia,799,117,380,70,2,569,569,
Philadelphia Church,Columbia,2355,292,853,204,1,1350,1350,
Liberty Park-Grovetown,Columbia,3410,421,994,274,2,1691,1691,
Grovetown Methodist Church,Columbia,2736,356,598,222,6,1182,1182,
G A Apostolic Church,Columbia,1701,284,510,190,1,985,985,
Grovetown Public Safety Station 23696,Columbia,377,1101,335,1,1814,1814,,
Grove First Baptist Church,Columbia,2954,270,875,237,1,1383,1383,
Eubank-Blanchard Center,Columbia,1576,420,546,99,1,1066,1066,
Second Mt Carmel Baptist Church731,Columbia,151,174,56,0,381,381,,
Damascus Baptist Church,Columbia,1023,376,316,85,1,778,778,
Col Cty Bd of Edu,Columbia,2143,278,843,235,3,1359,1359,
Greenbrier High,Columbia,3369,575,1421,337,1,2334,2334,
Parkway Baptist Church,Columbia,4596,686,1881,430,3,3000,3000,
Riverview Church,Columbia,1320,188,552,159,0,899,899,
Grace Baptist Church,Columbia,3558,485,1346,320,0,2151,2151,
Christ Sanctified,Columbia,2521,413,899,253,1,1566,1566,
Blanchard Park,Columbia,2026,305,580,219,2,1106,1106,
Belair Baptist Church,Columbia,2440,433,754,260,2,1449,1449,
Marvin Methodist,Columbia,1937,410,492,215,0,1117,1117,
Westside Baptist Church,Columbia,1516,332,472,244,0,1048,1048,
Trinity Baptist Church,Columbia,2836,522,913,344,3,1782,1782,
Abilene Baptist,Columbia,2046,374,610,240,0,1224,1224,
Augusta Christian,Columbia,2179,403,649,285,1,1338,1338,
Savannah Rapids Pavilion,Columbia,1549,157,688,354,0,1199,1199,
Gospel Water Branch,Columbia,2096,305,793,271,2,1371,1371,
Genesis Church,Columbia,1830,292,648,268,0,1208,1208,
Stevens Creek Church,Columbia,2760,437,1108,399,1,1945,1945,
Mtz Col Fire Hdqtr,Columbia,1291,265,299,116,1,681,681,
Lakeside Middle,Columbia,1923,334,630,169,1,1134,1134,
Martinez Baptist,Columbia,1962,421,453,183,0,1057,1057,
Gold Cross EMS,Columbia,1889,271,559,345,4,1179,1179,
Church of Our Savior,Columbia,2310,406,617,277,4,1304,1304,
West Acres Baptist,Columbia,2424,368,897,285,1,1551,1551,
Journey Comm Church,Columbia,1268,180,571,180,3,934,934,
Wesley Methodist,Columbia,2434,391,978,269,3,1641,1641,
Col Cty Main Library,Columbia,2106,234,842,211,1,1288,1288,
Christ Church Presbyterian,Columbia,2081,334,859,217,2,1412,1412,
Blue Ridge Elementary,Columbia,2301,367,773,225,1,1366,1366,
Christ The King Luth Church,Columbia,2148,228,870,325,1,1424,1424,
