Precinct,County,Registered Voters,Mark Newton (I) (Rep)_Election Day Votes,Mark Newton (I) (Rep)_Advanced Voting Votes,Mark Newton (I) (Rep)_Absentee by Mail Votes,Mark Newton (I) (Rep)_Provisional Votes,Mark Newton (I) (Rep)_Choice Total,Total,
Blanchard Park,Columbia,2026,304,581,207,2,1094,1094,
Marvin Methodist,Columbia,1937,411,487,213,0,1111,1111,
Westside Baptist Church,Columbia,1516,335,472,235,0,1042,1042,
Trinity Baptist Church,Columbia,2836,518,914,333,3,1768,1768,
Abilene Baptist,Columbia,2046,374,607,236,0,1217,1217,
Augusta Christian,Columbia,2179,396,652,264,1,1313,1313,
Genesis Church,Columbia,1830,286,649,254,0,1189,1189,
Stevens Creek Church,Columbia,2760,436,1101,395,1,1933,1933,
Mtz Col Fire Hdqtr,Columbia,1291,264,297,110,1,672,672,
Martinez Baptist,Columbia,1962,418,452,175,0,1045,1045,
Church of Our Savior,Columbia,2310,405,618,269,3,1295,1295,
