Precinct,County,Registered Voters,Don Skinner (Rep)_Election Day Votes,Don Skinner (Rep)_Advanced Voting Votes,Don Skinner (Rep)_Absentee by Mail Votes,Don Skinner (Rep)_Provisional Votes,Don Skinner (Rep)_Choice Total,Total,
Woodlawn Baptist Church,Columbia,1290,187,529,160,0,876,876,
Blanchard Park,Columbia,2026,301,588,213,2,1104,1104,
Belair Baptist Church,Columbia,2440,438,765,253,2,1458,1458,
Marvin Methodist,Columbia,1937,411,494,215,0,1120,1120,
Westside Baptist Church,Columbia,1516,336,470,243,0,1049,1049,
Trinity Baptist Church,Columbia,2836,523,913,339,3,1778,1778,
Abilene Baptist,Columbia,2046,372,606,231,0,1209,1209,
Mtz Col Fire Hdqtr,Columbia,1291,266,301,114,1,682,682,
Martinez Baptist,Columbia,1962,420,449,184,0,1053,1053,
Gold Cross EMS,Columbia,1889,271,563,341,4,1179,1179,
Church of Our Savior,Columbia,2310,407,624,274,3,1308,1308,
